PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,0,3,"Johnson, Miss. Anna",male,60.2,0,1,STON/O2 487649,13.1998,,S
2,1,3,"Williams, Mrs. Mary",female,21.5,1,1,STON/O2 75442,9.6025,,S
3,1,2,"Brown, Miss. Elizabeth",female,40.4,0,0,STON/O2 961750,22.0966,,S
4,0,3,"Davis, Mrs. Margaret",male,,0,0,PC 580886,12.0658,,S
5,0,1,"Wilson, Miss. Emily",male,48.2,0,0,SOTON 128309,95.4824,,S
6,0,2,"Smith, Mr. John",male,51.9,0,3,A/5 514644,34.5281,,S
7,0,3,"Miller, Mr. Thomas",male,30.4,0,0,PC 555840,13.8571,D45,S
8,1,1,"Taylor, Mr. William",female,19.5,0,1,A/5 404552,68.4633,,C
9,0,1,"Anderson, Mr. James",male,,0,0,W/C 148278,80.8915,,S
10,0,1,"Thomas, Mr. Charles",female,20.5,0,0,CA 19361,67.7875,D117,S
11,0,1,"Braund, Mr. Owen Harris",male,58.2,0,0,W/C 521581,20.8681,D19,S
12,1,1,"Cumings, Mrs. John Bradley",female,31.9,0,0,CA 551104,119.3101,,Q
13,0,3,"Heikkinen, Miss. Laina",female,24.9,1,1,CA 235295,18.2851,D127,S
14,0,2,"Futrelle, Mrs. Jacques Heath",male,,0,1,CA 930245,47.3688,D149,S
15,0,3,"Allen, Mr. William Henry",male,,0,1,PC 385474,26.3409,,S
16,0,3,"Moran, Mr. James",male,16.4,0,0,CA 769230,6.1203,D3,C
17,0,2,"McCarthy, Mr. Timothy J",male,46.8,1,0,CA 654832,21.2268,,Q
18,0,2,"Palsson, Master. Gosta Leonard",male,20.8,0,0,A/5 534703,53.2548,,S
19,0,2,"Johnson, Miss. Anna",male,15.3,0,0,W/C 409224,24.5438,,S
20,0,3,"Williams, Mrs. Mary",male,37.5,1,0,SOTON 458291,14.4286,,C
21,0,2,"Brown, Miss. Elizabeth",male,46.6,1,0,A/5 720745,7.8873,,S
22,0,3,"Davis, Mrs. Margaret",male,40.1,0,0,SOTON 635493,13.8792,,S
23,0,2,"Wilson, Miss. Emily",male,43.9,0,5,STON/O2 17259,46.7343,,S
24,0,3,"Smith, Mr. John",male,,1,0,CA 141721,20.5268,,S
25,0,2,"Miller, Mr. Thomas",male,10.1,3,0,STON/O2 322402,18.1377,,S
26,1,2,"Taylor, Mr. William",female,,1,0,W/C 274949,20.5414,,S
27,0,3,"Anderson, Mr. James",male,25.5,0,0,SOTON 255599,6.3842,,S
28,0,3,"Thomas, Mr. Charles",male,26.5,0,0,CA 75280,8.0207,,Q
29,0,1,"Braund, Mr. Owen Harris",male,48.6,0,2,W/C 369921,11.2324,,S
30,0,3,"Cumings, Mrs. John Bradley",male,37.8,1,1,PC 485609,12.5038,,C
31,0,3,"Heikkinen, Miss. Laina",male,36.4,0,2,W/C 358509,21.8341,,S
32,0,3,"Futrelle, Mrs. Jacques Heath",male,60.3,0,4,PC 275535,15.0793,,S
33,0,3,"Allen, Mr. William Henry",male,21,1,0,W/C 982086,20.9925,D80,S
34,1,2,"Moran, Mr. James",female,,0,0,A/5 708288,37.0741,,Q
35,0,1,"McCarthy, Mr. Timothy J",female,30.8,1,0,SOTON 345543,60.3149,,C
36,1,2,"Palsson, Master. Gosta Leonard",female,33.8,0,0,CA 774360,16.4556,,S
37,0,3,"Johnson, Miss. Anna",male,,0,0,SOTON 225402,8.7811,D130,C
38,0,3,"Williams, Mrs. Mary",male,37.1,0,0,CA 926423,2.9552,,S
39,1,2,"Brown, Miss. Elizabeth",female,37.5,1,0,A/5 502854,25.3637,,Q
40,0,1,"Davis, Mrs. Margaret",male,45,0,0,STON/O2 965900,0,,S
41,0,3,"Wilson, Miss. Emily",male,24.9,0,0,A/5 698615,16.4598,,Q
42,0,3,"Smith, Mr. John",male,,2,0,A/5 129165,13.4205,,S
43,0,3,"Miller, Mr. Thomas",male,15.4,0,0,STON/O2 402392,15.7579,,S
44,1,1,"Taylor, Mr. William",female,2.5,0,0,PC 450622,118.0526,,S
45,1,2,"Anderson, Mr. James",male,58.8,0,0,W/C 526957,27.2364,,S
46,0,1,"Thomas, Mr. Charles",female,14.6,0,0,A/5 742142,138.7366,,S
47,0,3,"Braund, Mr. Owen Harris",male,26.9,0,0,W/C 308003,16.6384,,S
